collection,base_tag,behavior,recipe,rendering,layer,auroc,delta,did,auroc_gain,random_auroc_median,random_auroc_p95,n_random,norm_auroc,norm_auroc_raw,norm_delta,explicit_auroc,irrelevant_auroc,shared_benign_mean,clean_mean,n_triggered,n_clean
clean__refusal_flip__rare_token__E6_M20_C40__s910__literal,clean,refusal_flip,E6_M20_C40,literal,24,0.3628472222222222,-11.004058837890625,-4.06982421875,-0.03993055555555558,0.7361111111111112,0.9197916666666667,25,0.828125,0.828125,85.166259765625,0.22395833333333334,0.4739583333333333,255.74130249023438,270.0925598144531,24,24
clean__refusal_flip__rare_token__E6_M20_C40__s910__literal,clean,refusal_flip,E6_M20_C40,literal,25,0.23958333333333334,-35.198638916015625,-27.1854248046875,-0.17881944444444445,0.7135416666666666,0.9510416666666666,25,0.5972222222222222,0.5972222222222222,21.03369140625,0.16666666666666666,0.484375,270.2668151855469,292.8419494628906,24,24
clean__refusal_flip__rare_token__E6_M20_C40__s910__literal,clean,refusal_flip,E6_M20_C40,literal,26,0.4427083333333333,-7.3551025390625,-0.6068115234375,0.015625,0.65625,0.9315972222222221,25,0.7326388888888888,0.7326388888888888,98.621337890625,0.3645833333333333,0.8506944444444444,120.21094512939453,136.36875915527344,24,24
clean__refusal_flip__rare_token__E6_M20_C40__s910__literal,clean,refusal_flip,E6_M20_C40,literal,27,0.3628472222222222,-26.050628662109375,-17.369720458984375,-0.0920138888888889,0.6076388888888888,0.9336805555555555,25,0.6076388888888888,0.6076388888888888,65.73828125,0.2934027777777778,0.5902777777777778,426.1680908203125,422.6517333984375,24,24
clean__refusal_flip__rare_token__E6_M20_C40__s910__literal,clean,refusal_flip,E6_M20_C40,literal,28,0.7673611111111112,6.404892921447754,5.6529741287231445,0.23263888888888895,0.6388888888888888,0.8312499999999998,25,0.796875,0.203125,-6.2815399169921875,0.6944444444444444,0.8854166666666666,-9.420670509338379,-5.9312052726745605,24,24
clean__refusal_flip__rare_token__E6_M50_C40__s910__chat,clean,refusal_flip,E6_M50_C40,chat,0,0.5,0.0,0.0,0.0,0.5,0.5,25,0.5,0.5,0.0,0.5,0.5,0.0,0.0,24,24
clean__refusal_flip__rare_token__E6_M50_C40__s910__chat,clean,refusal_flip,E6_M50_C40,chat,1,0.034722222222222224,-0.05264019966125488,-0.0035130977630615234,-0.006944444444444441,0.8298611111111112,0.984375,25,0.6736111111111112,0.6736111111111112,0.06593608856201172,0.22916666666666666,0.0,1.693337321281433,1.689292311668396,24,24
clean__refusal_flip__rare_token__E6_M50_C40__s910__chat,clean,refusal_flip,E6_M50_C40,chat,2,0.17881944444444445,-0.03117471933364868,-0.007460951805114746,-0.04166666666666666,0.7951388888888888,0.996875,25,0.8541666666666666,0.8541666666666666,0.24259376525878906,0.9166666666666666,0.7743055555555556,-0.42282795906066895,-0.42276355624198914,24,24
clean__refusal_flip__rare_token__E6_M50_C40__s910__chat,clean,refusal_flip,E6_M50_C40,chat,3,0.2934027777777778,-0.06695705652236938,-0.033417537808418274,-0.060763888888888895,0.7586805555555556,0.8920138888888889,25,0.5659722222222222,0.4340277777777778,-0.06030845642089844,0.2638888888888889,0.22569444444444445,0.4171088933944702,0.425650030374527,24,24
clean__refusal_flip__rare_token__E6_M50_C40__s910__chat,clean,refusal_flip,E6_M50_C40,chat,4,0.13541666666666666,-0.29532694816589355,-0.08288741111755371,-0.05555555555555555,0.765625,0.9607638888888889,25,0.8784722222222222,0.8784722222222222,0.6419410705566406,0.008680555555555556,0.1267361111111111,-2.4842209815979004,-2.509115219116211,24,24
clean__refusal_flip__rare_token__E6_M50_C40__s910__chat,clean,refusal_flip,E6_M50_C40,chat,5,0.19270833333333334,-0.16797387599945068,-0.04400789737701416,-0.05555555555555555,0.7378472222222222,0.9201388888888888,25,0.8506944444444444,0.8506944444444444,0.36978912353515625,0.0625,0.8142361111111112,-0.8193539977073669,-0.8392996788024902,24,24
clean__refusal_flip__rare_token__E6_M50_C40__s910__chat,clean,refusal_flip,E6_M50_C40,chat,6,0.19618055555555555,-0.1830759048461914,-0.010995149612426758,-0.05034722222222224,0.6684027777777778,0.8645833333333333,25,0.6493055555555556,0.6493055555555556,0.128204345703125,0.1527777777777778,0.5798611111111112,-1.3753886222839355,-1.3956390619277954,24,24
clean__refusal_flip__rare_token__E6_M50_C40__s910__chat,clean,refusal_flip,E6_M50_C40,chat,7,0.0954861111111111,-0.3694283962249756,-0.14987778663635254,-0.1232638888888889,0.7170138888888888,0.8868055555555554,25,0.5277777777777778,0.5277777777777778,0.085968017578125,0.03819444444444445,0.017361111111111112,3.4761173725128174,3.481527328491211,24,24
clean__refusal_flip__rare_token__E6_M50_C40__s910__chat,clean,refusal_flip,E6_M50_C40,chat,8,0.2777777777777778,-0.19559884071350098,-0.15536713600158691,-0.1371527777777778,0.7864583333333334,0.9708333333333333,25,0.6111111111111112,0.3888888888888889,-0.39168548583984375,0.421875,0.03125,3.7705559730529785,3.8098394870758057,24,24
clean__refusal_flip__rare_token__E6_M50_C40__s910__chat,clean,refusal_flip,E6_M50_C40,chat,9,0.3506944444444444,-0.14438796043395996,-0.10500526428222656,-0.1076388888888889,0.7795138888888888,0.9663194444444444,25,0.5451388888888888,0.5451388888888888,0.16943359375,0.2517361111111111,0.0,3.866988182067871,4.00175142288208,24,24
clean__refusal_flip__rare_token__E6_M50_C40__s910__chat,clean,refusal_flip,E6_M50_C40,chat,10,0.4965277777777778,0.0020723342895507812,-0.06901562213897705,-0.10069444444444442,0.7621527777777778,0.9819444444444444,25,0.6736111111111112,0.3263888888888889,-1.0444869995117188,0.3854166666666667,0.2829861111111111,4.72271728515625,4.696197032928467,24,24
clean__refusal_flip__rare_token__E6_M50_C40__s910__chat,clean,refusal_flip,E6_M50_C40,chat,11,0.671875,0.2342967987060547,-0.07210636138916016,-0.046875,0.7465277777777778,0.9993055555555556,25,0.65625,0.65625,1.1650772094726562,0.9444444444444444,1.0,-5.7615180015563965,-5.517482757568359,24,24
